created_at,updated_at,partyId,year,constituencyId,votes,voteShare
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,7,41772,29.54
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,7,26211,18.54
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,7,24485,17.32
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,7,17739,12.55
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,7,8892,6.29
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,7,11540,8.16
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,7,4611,3.26
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,7,2050,1.45
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,7,2243,1.59
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,7,1851,1.31
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,7,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,7,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,7,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,8,18920,26.51
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,8,12820,17.96
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,8,10713,15.01
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,8,10126,14.19
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,8,7792,10.92
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,8,1986,2.78
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,8,6127,8.58
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,8,636,0.89
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,8,607,0.85
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,8,1643,2.3
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,8,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,8,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,8,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,9,89214,24
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,9,61815,16.63
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,9,78662,21.16
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,9,43873,11.8
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,9,37780,10.16
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,9,27180,7.31
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,9,16833,4.53
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,9,5244,1.41
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,9,6038,1.62
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,9,5141,1.38
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,9,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,9,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,9,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,10,82409,26.86
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,10,43760,14.26
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,10,77846,25.37
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,10,41086,13.39
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,10,28487,9.28
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,10,13295,4.33
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,10,7609,2.48
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,10,3363,1.1
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,10,3245,1.06
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,10,5718,1.86
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,10,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,10,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,10,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,11,64631,30.23
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,11,27408,12.82
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,11,28375,13.27
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,11,21575,10.09
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,11,26063,12.19
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,11,12389,5.79
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,11,12221,5.72
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,11,3329,1.56
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,11,4402,2.06
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,11,13415,6.27
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,11,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,11,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,11,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,12,102698,26.71
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,12,65469,17.03
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,12,57068,14.84
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,12,58045,15.1
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,12,40767,10.6
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,12,18702,4.86
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,12,13042,3.39
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,12,6251,1.63
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,12,13008,3.38
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,12,9449,2.46
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,12,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,12,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,12,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,13,29008,30.84
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,13,13144,13.97
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,13,13015,13.84
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,13,10826,11.51
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,13,9076,9.65
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,13,2525,2.68
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,13,8862,9.42
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,13,1124,1.2
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,13,1918,2.04
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,13,4557,4.85
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,13,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,13,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,13,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,14,59857,18.66
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,14,77401,24.12
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,14,34094,10.63
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,14,46912,14.62
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,14,48921,15.25
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,14,12115,3.78
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,14,17831,5.56
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,14,12836,4
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,14,5115,1.59
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,14,5779,1.8
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,14,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,14,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,14,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,15,33695,34.92
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,15,11249,11.66
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,15,13602,14.1
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,15,13436,13.92
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,15,9203,9.54
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,15,2915,3.02
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,15,7730,8.01
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,15,632,0.65
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,15,1352,1.4
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,15,2677,2.77
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,15,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,15,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,15,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,16,12344,37.09
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,16,4757,14.29
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,16,5252,15.78
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,16,2867,8.61
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,16,3264,9.81
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,16,532,1.6
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,16,1480,4.45
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,16,343,1.03
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,16,1535,4.61
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,16,910,2.73
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,16,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,16,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,16,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,17,137008,31.8
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,17,68898,15.99
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,17,66706,15.48
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,17,53002,12.3
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,17,35618,8.27
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,17,15435,3.58
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,17,22382,5.2
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,17,5566,1.29
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,17,9539,2.21
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,17,16653,3.87
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,17,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,17,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,17,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_1,2019,18,63440,39.33
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_2,2019,18,21151,13.11
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_3,2019,18,20957,12.99
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_4,2019,18,18755,11.63
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_5,2019,18,14395,8.93
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_6,2019,18,5778,3.58
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_7,2019,18,4396,2.73
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_8,2019,18,1359,0.84
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_9,2019,18,2663,1.65
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_10,2019,18,8392,5.2
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_11,2019,18,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_12,2019,18,0,0
2023-02-06 19:00:00,2023-02-06 19:00:00,2019_13,2019,18,0,0
